customertype,region,npv,paybackperiod,systemsize,unitcost
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2286691,7.316396,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2382472,7.220559,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2320182,7.287341,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
"LGS",16,2350002,7.254809,2692.715,1026
