customertype,region,npv,paybackperiod,systemsize,unitcost
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,141358.3,8.967983,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,133180.1,9.09174,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
"MGS",17,166581.2,8.625894,273.9242,1290
