customertype,region,npv,paybackperiod,systemsize,unitcost
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2339.019,11.14664,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2474.17,10.93949,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
"Res",17,2727.417,10.6568,1.735136,1930
