customertype,region,npv,paybackperiod,systemsize,unitcost
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2305.075,10.33889,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2339.742,10.30188,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2257.22,10.41174,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
"SGS",15,2331.021,10.29381,1.371729,1930
