customertype,region,billwithoutsystem,systemsize,paybackperiod,pb_cutoff,unitcost,num_system,total_size,region1,,image
LGS,14,36451.07,1.052403,6.951474,7.055161,1026,70,73.66819,"Rayong, Thailand",,./images/rayong.jpg
LGS,15,82449.45,2.476323,7.347778,7.419347,1026,70,173.3426,"Bangkok, Thailand",,./images/bangkok.jpg
LGS,16,91012.96,2.692715,7.269776,7.346766,1026,40,107.7086,"Jakatar, Indonesia",,./images/jakatar.jpg
LGS,17,90713.51,2.691706,7.536595,7.88884,1045,60,161.5024,"Mandalay, Myanmar",,./images/mandalay
MGS,14,6756.052,0.1863956,8.180586,8.293327,1290,40,7.455823,"Rayong, Thailand",,./images/rayong.jpg
MGS,15,7380.998,0.2080634,8.339297,8.407541,1290,40,8.322537,"Bangkok, Thailand",,./images/bangkok.jpg
MGS,16,7943.811,0.2282684,8.531958,8.571844,1290,20,4.565367,"Jakatar, Indonesia",,./images/jakatar.jpg
MGS,17,9352.507,0.2739242,8.895205,9.09174,1290,30,8.217726,"Mandalay, Myanmar",,./images/mandalay
Res,14,41.99134,1.109602,11.05173,11.15598,1930,40,44.38407,"Rayong, Thailand",,./images/rayong.jpg
Res,15,53.20235,1.374499,10.47861,10.56664,1930,40,54.97996,"Bangkok, Thailand",,./images/bangkok.jpg
Res,16,63.59077,1.617718,10.81019,10.86256,1930,20,32.35436,"Jakatar, Indonesia",,./images/jakatar.jpg
Res,17,68.60588,1.735136,10.91431,11.14664,1930,30,52.05408,"Mandalay, Myanmar",,./images/mandalay
SGS,14,41.92987,1.108811,10.24152,10.37861,1930,40,44.35243,"Rayong, Thailand",,./images/rayong.jpg
SGS,15,53.08171,1.371729,10.33658,10.41174,1930,40,54.86917,"Bangkok, Thailand",,./images/bangkok.jpg
SGS,16,63.6151,1.618228,10.51742,10.55386,1930,20,32.36457,"Jakatar, Indonesia",,./images/jakatar.jpg
SGS,17,68.46305,1.731732,10.66029,10.90429,1930,30,51.95195,"Mandalay, Myanmar",,./images/mandalay
